x,y,z,T,p,U_0,U_1,U_2
-0.15242,0.05,0,288.9,101350,851.84,0,0
-0.146069,0.05,2.1684e-19,288.9,101350,851.84,-8.83616e-15,0
-0.139718,0.05,1.0842e-19,288.9,101350,851.84,5.19401e-14,0
-0.133368,0.05,2.1684e-19,288.9,101350,851.84,-1.24465e-13,0
-0.127017,0.05,4.33681e-19,288.9,101350,851.84,-1.65458e-13,0
-0.120666,0.05,8.67362e-19,288.9,101350,851.84,2.5824e-14,0
-0.114315,0.05,8.67362e-19,288.9,101350,851.84,9.38738e-15,0
-0.107964,0.05,1.0842e-18,288.9,101350,851.84,4.2718e-14,0
-0.101613,0.05,6.50521e-19,288.9,101350,851.84,-1.1023e-13,0
-0.0952625,0.05,4.33681e-19,288.9,101350,851.84,9.10551e-14,0
-0.0889117,0.05,6.50521e-19,288.9,101350,851.84,-8.01307e-14,0
-0.0825608,0.05,4.33681e-19,288.9,101350,851.84,2.41891e-13,0
-0.07621,0.05,2.1684e-19,288.9,101350,851.84,-2.69628e-14,0
-0.0698592,0.05,2.1684e-19,288.9,101350,851.84,-4.35901e-14,0
-0.0635083,0.05,-3.25261e-19,288.9,101350,851.84,-3.29879e-13,0
-0.0571575,0.05,-2.1684e-19,288.9,101350,851.84,-6.43468e-13,0
-0.0508067,0.05,3.25261e-19,288.9,101350,851.84,-1.05012e-12,0
-0.0444558,0.05,0,288.9,101350,851.84,-1.10177e-12,0
-0.038105,0.05,3.38271e-19,288.9,101350,851.84,-1.06562e-12,0
-0.0317542,0.05,-2.1684e-19,288.9,101350,851.84,-9.05923e-13,0
-0.0254033,0.05,-2.1684e-19,288.9,101350,851.84,-9.59127e-13,0
-0.0190525,0.05,2.71051e-19,288.9,101350,851.84,-1.20367e-12,0
-0.0127017,0.05,-2.1684e-19,288.9,101350,851.84,-1.12594e-12,0
-0.00635083,0.05,2.71051e-19,288.9,101350,851.84,-1.02586e-12,0
-4.45316e-19,0.05,2.1684e-19,288.9,101350,851.84,1.39885e-13,-4.01432e-18
