x,y,z,T,p,U_0,U_1,U_2
-0.15242,0.05,0,288.9,101350,851.84,0,0
-0.146069,0.05,2.1684e-19,288.9,101350,851.84,-2.53768e-16,0
-0.139718,0.05,1.0842e-19,288.9,101350,851.84,-2.1681e-14,0
-0.133368,0.05,2.1684e-19,288.9,101350,851.84,2.84156e-14,0
-0.127017,0.05,4.33681e-19,288.9,101350,851.84,-2.24434e-13,0
-0.120666,0.05,8.67362e-19,288.9,101350,851.84,-1.97606e-13,0
-0.114315,0.05,8.67362e-19,288.9,101350,851.84,-3.04603e-14,0
-0.107964,0.05,1.0842e-18,288.9,101350,851.84,-2.05907e-13,0
-0.101613,0.05,6.50521e-19,288.9,101350,851.84,-7.12401e-13,0
-0.0952625,0.05,4.33681e-19,288.9,101350,851.84,-6.0366e-13,0
-0.0889117,0.05,6.50521e-19,288.9,101350,851.84,-1.59863e-13,0
-0.0825608,0.05,4.33681e-19,288.9,101350,851.84,3.56853e-13,0
-0.07621,0.05,2.1684e-19,288.9,101350,851.84,2.35851e-13,0
-0.0698592,0.05,2.1684e-19,288.9,101350,851.84,1.75309e-13,0
-0.0635083,0.05,-3.25261e-19,288.9,101350,851.84,1.58416e-13,0
-0.0571575,0.05,-2.1684e-19,288.9,101350,851.84,1.59005e-13,0
-0.0508067,0.05,3.25261e-19,288.9,101350,851.84,2.89575e-14,0
-0.0444558,0.05,0,288.9,101350,851.84,-4.85049e-13,0
-0.038105,0.05,3.38271e-19,288.9,101350,851.84,-1.03146e-12,0
-0.0317542,0.05,-2.1684e-19,288.9,101350,851.84,-1.04913e-12,0
-0.0254033,0.05,-2.1684e-19,288.9,101350,851.84,-1.16125e-12,0
-0.0190525,0.05,2.71051e-19,288.9,101350,851.84,-1.2867e-12,0
-0.0127017,0.05,-2.1684e-19,288.9,101350,851.84,-1.30206e-12,0
-0.00635083,0.05,2.71051e-19,288.9,101350,851.84,-1.34388e-12,0
-4.45316e-19,0.05,2.1684e-19,288.9,101350,851.84,-4.29905e-13,-3.3754e-18
