x,y,z,T,p,U_0,U_1,U_2
-0.15242,0.05,0,288.9,101350,851.84,0,0
-0.146069,0.05,2.1684e-19,288.9,101350,851.84,1.73083e-15,0
-0.139718,0.05,1.0842e-19,288.9,101350,851.84,-1.79621e-13,0
-0.133368,0.05,2.1684e-19,288.9,101350,851.84,-2.05248e-14,0
-0.127017,0.05,4.33681e-19,288.9,101350,851.84,-7.84462e-14,0
-0.120666,0.05,8.67362e-19,288.9,101350,851.84,1.12694e-13,0
-0.114315,0.05,8.67362e-19,288.9,101350,851.84,1.97226e-13,0
-0.107964,0.05,1.0842e-18,288.9,101350,851.84,-4.52632e-15,0
-0.101613,0.05,6.50521e-19,288.9,101350,851.84,-2.62216e-15,0
-0.0952625,0.05,4.33681e-19,288.9,101350,851.84,-4.05566e-15,0
-0.0889117,0.05,6.50521e-19,288.9,101350,851.84,1.11506e-13,0
-0.0825608,0.05,4.33681e-19,288.9,101350,851.84,1.96456e-13,0
-0.07621,0.05,2.1684e-19,288.9,101350,851.84,2.87306e-13,0
-0.0698592,0.05,2.1684e-19,288.9,101350,851.84,6.96416e-14,0
-0.0635083,0.05,-3.25261e-19,288.9,101350,851.84,-4.93193e-13,0
-0.0571575,0.05,-2.1684e-19,288.9,101350,851.84,-7.78999e-13,0
-0.0508067,0.05,3.25261e-19,288.9,101350,851.84,-8.30096e-13,0
-0.0444558,0.05,0,288.9,101350,851.84,-6.20881e-13,0
-0.038105,0.05,3.38271e-19,288.9,101350,851.84,-4.09902e-13,0
-0.0317542,0.05,-2.1684e-19,288.9,101350,851.84,-6.64986e-13,0
-0.0254033,0.05,-2.1684e-19,288.9,101350,851.84,-7.72013e-13,0
-0.0190525,0.05,2.71051e-19,288.9,101350,851.84,-1.02972e-12,0
-0.0127017,0.05,-2.1684e-19,288.9,101350,851.84,-1.08651e-12,0
-0.00635083,0.05,2.71051e-19,288.9,101350,851.84,-1.01357e-12,0
-4.45316e-19,0.05,2.1684e-19,288.9,101350,851.84,7.84827e-14,-3.35003e-18
