x,y,z,T,p,U_0,U_1,U_2
-0.15242,0.05,0,288.9,101350,851.84,0,0
-0.146069,0.05,2.1684e-19,288.9,101350,851.84,1.49935e-13,0
-0.139718,0.05,1.0842e-19,288.9,101350,851.84,-1.74986e-14,0
-0.133368,0.05,2.1684e-19,288.9,101350,851.84,-3.09758e-14,0
-0.127017,0.05,4.33681e-19,288.9,101350,851.84,-1.29118e-13,0
-0.120666,0.05,8.67362e-19,288.9,101350,851.84,-2.02627e-13,0
-0.114315,0.05,8.67362e-19,288.9,101350,851.84,-7.33546e-14,0
-0.107964,0.05,1.0842e-18,288.9,101350,851.84,1.77271e-13,0
-0.101613,0.05,6.50521e-19,288.9,101350,851.84,3.05193e-13,0
-0.0952625,0.05,4.33681e-19,288.9,101350,851.84,2.68847e-13,0
-0.0889117,0.05,6.50521e-19,288.9,101350,851.84,9.62033e-14,0
-0.0825608,0.05,4.33681e-19,288.9,101350,851.84,-2.19345e-13,0
-0.07621,0.05,2.1684e-19,288.9,101350,851.84,-2.98537e-13,0
-0.0698592,0.05,2.1684e-19,288.9,101350,851.84,-3.3633e-13,0
-0.0635083,0.05,-3.25261e-19,288.9,101350,851.84,-1.8936e-13,0
-0.0571575,0.05,-2.1684e-19,288.9,101350,851.84,-1.72359e-13,0
-0.0508067,0.05,3.25261e-19,288.9,101350,851.84,-6.76232e-14,0
-0.0444558,0.05,0,288.9,101350,851.84,-5.53237e-13,0
-0.038105,0.05,3.38271e-19,288.9,101350,851.84,-8.76706e-13,0
-0.0317542,0.05,-2.1684e-19,288.9,101350,851.84,-1.2647e-12,0
-0.0254033,0.05,-2.1684e-19,288.9,101350,851.84,-1.17422e-12,0
-0.0190525,0.05,2.71051e-19,288.9,101350,851.84,-1.05366e-12,0
-0.0127017,0.05,-2.1684e-19,288.9,101350,851.84,-8.55086e-13,0
-0.00635083,0.05,2.71051e-19,288.9,101350,851.84,-3.6745e-13,0
-4.45316e-19,0.05,2.1684e-19,288.9,101350,851.84,7.29293e-13,-3.55674e-18
